Code,Name,Description,Prerequisites,Instructors,Meet Times,Credit Hours,Department
BME3406,Introduction to Biomolecular Engineering,"Introduces bio-related careers in chemical engineering, providing foundational knowledge in molecular cell biology and biochemistry for early undergraduate students. Highlights the connections between biology and chemical engineering, helping students understand interdisciplinary concepts that are essential for biomolecular engineering","Prereq: (Sophomore Standing or Chemical Engineering Major) and (CHM 2045 or
CHM 2095 or CHM 2050). 
Coreq:  CHM 2046 or CHM 2096 or CHM 2051.",Carl Andre Denard,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '9:35 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '3', 'meetPeriodEnd': '3', 'meetBuilding': 'CSE', 'meetBldgCode': '0042', 'meetRoom': 'E222'}]",3,Chemical Engineering
COT3502,Computer Model Formulation,"Solutions of scientific and engineering problems using digital computers. Formulation of models for describing physical processes, numerical analysis, and computer programming.",Prereq: COP 2273 with a grade of C or better and MAP 2302 and MAC 2313.,Spyros Svoronos,"[{'meetNo': 1, 'meetDays': ['M'], 'meetTimeBegin': '3:00 PM', 'meetTimeEnd': '4:55 PM', 'meetPeriodBegin': '8', 'meetPeriodEnd': '9', 'meetBuilding': 'FLG', 'meetBldgCode': '0021', 'meetRoom': '0280'}, {'meetNo': 2, 'meetDays': ['W'], 'meetTimeBegin': '3:00 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '8', 'meetPeriodEnd': '8', 'meetBuilding': 'FLG', 'meetBldgCode': '0021', 'meetRoom': '0280'}]",3,Chemical Engineering
ECH2934,Professional Development of Chemical Engineers,"Introduces the Chemical Engineering profession and a wide range of careers, including chemical, energy, pharmaceutical, semiconductor, and food industries, as well as graduate and professional school pathways. Provides resources to build successful professional careers, including best practices for interviewing, oral presentations, and teamwork. Also discusses professional codes of conduct and ethical decision-making.",,Dmitry Kopelevich,"[{'meetNo': 2, 'meetDays': ['T'], 'meetTimeBegin': '3:00 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '8', 'meetPeriodEnd': '8', 'meetBuilding': 'NPB', 'meetBldgCode': '0092', 'meetRoom': '1002'}]",1,Chemical Engineering
ECH3023,Material and Energy Balances,Formulation and solution of material and energy balances utilizing physical/chemical properties of matter as applied to analyzing unit operations systems.,Prereq: (CHM 2045 or CHM 2095 or CHM 2050) & MAC 2312 & PHY 2048; Coreq: (CHM 2046 or CHM 2096 or CHM 2051) & MAC 2313 & MAP 2302 & ECH 2934,Yeongseon Jang,"[{'meetNo': 6, 'meetDays': ['M', 'W', 'R', 'F'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '4:55 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '9', 'meetBuilding': 'FLG', 'meetBldgCode': '0021', 'meetRoom': '0260'}]",4,Chemical Engineering
ECH3101,Process Thermodynamics,"Introduces fundamental principles of classical and statistical thermodynamics. Application of the first and second laws of thermodynamics to the modeling and analysis of physical and chemical processes undergoing change, such as liquefaction, refrigeration, and power generation.",Prereq: COP 2273 and ECH 3023. Coreq: COT 3502.,Helena Hagelin Weaver,"[{'meetNo': 1, 'meetDays': ['T', 'R'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '2:45 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '7', 'meetBuilding': 'WM', 'meetBldgCode': '0100', 'meetRoom': '0100'}]",4,Chemical Engineering
ECH3203,Fluid and Solid Operations,"Characteristics of laminar and turbulent flow, mechanical energy balance, flow through packed beds and fluidization of solids, design of pumping systems and piping networks and metering of fluids.",Prereq: COT 3502 and ECH 3264.,Peng Jiang,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '10:40 AM', 'meetTimeEnd': '11:30 AM', 'meetPeriodBegin': '4', 'meetPeriodEnd': '4', 'meetBuilding': 'FAB', 'meetBldgCode': '0598', 'meetRoom': '0105'}]",3,Chemical Engineering
ECH3223,Energy Transfer Operations,"Steady state conduction in solids and heterogeneous materials, transient conduction, convection heat transfer, heat transfer during boiling and condensation, radiation heat transfer, design of heat-transfer equipment and heat exchange networks.",Prereq: COT 3502 and ECH 3264.,Travis Anderson,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '8:30 AM', 'meetTimeEnd': '9:20 AM', 'meetPeriodBegin': '2', 'meetPeriodEnd': '2', 'meetBuilding': 'RNK', 'meetBldgCode': '0272', 'meetRoom': '0110'}]",3,Chemical Engineering
ECH3264,Elementary Transport Phenomena,"Flux law and conservation equations of mass, energy, and momentum; solution of transport problems associated with physical and chemical processing; macroscopic and microscopic analysis.",Prereq: ECH 3023 and MAP 2302 and MAC 2313.,Won Tae Choi,"[{'meetNo': 2, 'meetDays': ['T'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '12:35 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '5', 'meetBuilding': 'CSE', 'meetBldgCode': '0042', 'meetRoom': 'E222'}, {'meetNo': 3, 'meetDays': ['R'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '12:35 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '5', 'meetBuilding': 'NZH', 'meetBldgCode': '0832', 'meetRoom': '0112'}]",2,Chemical Engineering
ECH4123,Phase and Chemical Equilibria,"Application of thermodynamic principles to systems of variable composition, including the study of phase and chemical equilibria.",Prereq: ECH 3101.,Anthony Ladd,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '4:55 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '9', 'meetBuilding': 'FLG', 'meetBldgCode': '0021', 'meetRoom': '0210'}]",3,Chemical Engineering
ECH4224L,Fluid and Energy Transfer Operations Laboratory,Laboratory work in unit operations involving heat and momentum transfer.,Prereq: ECH 3101 and ECH 3203 and ECH 3223 and STA 3032 or STA 2023; Coreq: ECH 4714 and ENC 2256.,Fernando Merida,"[{'meetNo': 1, 'meetDays': ['R'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '4:55 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '9', 'meetBuilding': 'NSC', 'meetBldgCode': '0634', 'meetRoom': '0304'}]",2,Chemical Engineering
