Prerequisite,Frequency
COP3530,15
ENC1101,10
COP3504C,10
COP3503C,10
COT3502,5
COP3504,5
MAC2311,5
COT3100,5
COP3503,5
HIS3942,5
ECH3264,4
MAC2313,4
ECH3203,4
ECH3223,4
ECH3101,4
MAC2312,3
ECH4403,3
MAP2302,3
COP3502C,3
CDA3101,3
COP4600,3
MAC3472,3
ECH3023,2
COT4501,2
ECH4714,2
CHM2051,2
CHM2045,2
CHM2046,2
CHM2096,2
COP2273,2
CHM2050,1
CHM2095,1
BSC2010,1
BME2402,1
ECH4824,1
ECH4604,1
ECH4123,1
ECH4504,1
ECH4224L,1
ECH4323L,1
STA3032,1
ENC2256,1
STA2023,1
ECH2934,1
PHY2048,1
CAP6610,1
MAC1147,1
MAD4401,1
COP3502,1
MAC2233,1
CIS3020,1
CNT4007,1
MAC3473,1
MAS3114,1
MAC2234,1
MAC2512,1
STA4321,1
MAS4105,1
CRW1101,1
CRW2100,1
CRW1301,1
CRW2300,1
CRW3110,1
ENG4936,1
